Campaign,Max Transactions,Spend,25th Percentile Transactions,50th Percentile Transactions,75th Percentile Transactions,CAC,25th Percentile CAC,50th Percentile CAC,75th Percentile CAC
1180_8Sleep_Prospecting_Elon_No_Comment,0.0026290650595020026,0,0.0026290650595020026,0.0026290650595020026,0.0026290650595020026,0.0,0.0,0.0,0.0
ASC Creative Testing Campaign,0.7568446360320001,100,0.7492969401195002,0.7545945709330002,0.7564654103565001,132.1275136787412,133.4584390322636,132.5214941267831,132.1937508720629
Advantage+ shopping campaign CELL C Campaign,3.4728764265000005,1400,1.3932094545404994,1.4099814945609994,3.3027555399000006,403.1240470628936,1004.8740305611408,992.9208329332669,423.88847224290436
Blended Acquisition,5.4370283705753994,2700,1.0010634067450002,2.4262582787787297,3.7534262406447434,496.5947970056775,2697.1318517966447,1112.8246418015563,719.3427622907567
Blended Acquisition - France:Italy,6.555193688667994,2100,2.5234673995929997,4.627409298049999,6.470071955987994,320.3566667496467,832.1882820196928,453.81764714112165,324.57135164570605
Character_8Sleep_ASC_Prospecting,3.097706781169127,1200,2.309208387981075,2.633205809043269,2.8283816004737705,387.3833402485886,519.6586008632818,455.71827157558937,424.27089746270195
Character_8Sleep_ASC_Prospecting_EDU,4.213030265418754,1900,1.8185890640234672,2.7766646305298686,3.316251113199377,450.9818065147817,1044.7659878677696,684.2742112638301,572.9361062066743
Character_8Sleep_ASC_Prospecting_Sales+Promos,5.087175906570001,2300,3.917154431506299,4.1135083435632,4.245561115050999,452.1172537064404,587.1609200548062,559.1334228357723,541.7422898109362
Character_8Sleep_Prospecting,3.4029954528314943,1400,0.7819283092842501,2.986011702740475,3.2955011841586943,411.40225410384164,1790.4454709940242,468.85281752751354,424.82157394745553
Character_8Sleep_Sales&Creative_testing,0.7021411795664,200,0.6578394751494784,0.6767599041582891,0.690625291261925,284.84299998400314,304.0255374680195,295.52578214388643,289.592638049145
Prospecting - Black Crow LAL - 1180,2.477922968373999,1100,0.5181609758320002,1.6785793152135797,2.3707666346479983,443.92017590515115,2122.8924046890124,655.3160699826911,463.98493378633344
Prospecting - Black Crow LAL - ABO,12.576248997184853,4500,3.758744142304569,5.879503884598632,9.364652169842046,357.8173429141955,1197.2083838728513,765.3706993523307,480.5303943366753
Prospecting - Black Crow LAL - ABO - CELL C,2.469242473140001,1100,1.8134392859360002,1.8415948523760002,2.038999918360001,445.4807545089689,606.5822046158214,597.3083594259591,539.4801589225893
Prospecting - Black Crow LAL - ABO - Copy,4.112099489586002,400,3.7627543757510002,3.7636129615460003,4.0066359215715,97.27391105517032,106.30510526485398,106.2808540854025,99.83437672647588
Prospecting - Proxima - ABO,2.7505361285100003,1200,2.697089438864,2.7045323598670006,2.730427374350001,436.2785813142745,444.9240661835203,443.6996272653258,439.4916382955138
Prospecting Interests,0.0640974332036,0,0.0640974332036,0.0640974332036,0.0640974332036,0.0,0.0,0.0,0.0
Prospecting_Advantage+Shopping Campaign,10.746224453045356,5000,4.0098531998201175,7.759807804106995,8.855907330580402,465.2796916579439,1246.9284412268012,644.3458557509215,564.5948871590448
Prospecting_Broad,1.8226775023259998,900,0.9829291104544,1.0092147835997003,1.2647117506575,493.7790688980744,915.6306293379971,891.7824180001115,711.6246049996031
Retargeting,3.555737395993088,1000,1.7998753738029993,1.8605663098781908,2.830166450117365,281.2356168728564,555.5940230945414,537.4707661268299,353.33610853825604
Retargeting (Shop Page),4.798388585770001,1100,2.080296997771171,4.798388585770001,4.798388585770001,229.24362634200503,528.7706520648443,229.24362634200503,229.24362634200503
UK ASC Campaign,0.8129072863399994,0,0.8046522028289995,0.8069813058479994,0.8099442960939994,0.0,0.0,0.0,0.0
